,0.0,0.75,1.5,2.25,3.0
time = 1e-18,0,0.0,0.0,0.0,0.0
time = 1.14736842105e-17,0,11.757405756455942,0.9426537490245744,0.18264096212117217,0.03454235041236943
time = 2.19473684211e-17,0,31.555684867380705,4.159417451675065,0.9555168097980482,0.30498257683932556
time = 3.24210526316e-17,0,35.81283038479991,7.851061691843813,2.2816116408231344,0.7299737452586623
time = 4.28947368421e-17,0,38.9240974752287,9.283094993013112,3.0667369424180566,1.5114710269888314
time = 5.33684210526e-17,0,41.41709277165054,8.465296759867757,5.353949205924475,1.9127066474501688
time = 6.38421052632e-17,0,41.28924629790934,9.392079936526505,5.544139752821739,2.218964555228147
time = 7.43157894737e-17,0,38.95307586767007,12.744553589505651,4.6901116402253225,3.1294149399302733
time = 8.47894736842e-17,0,39.70913415995435,13.906054767618901,5.7310781196936205,3.422979757441862
time = 9.52631578947e-17,0,39.7395052657649,15.055815417889784,5.077679952228941,3.974416530878672
time = 1.05736842105e-16,0,13.18122736243093,7.21976828528148,5.516922674964832,4.034878538078527
time = 1.16210526316e-16,0,13.17402243728544,7.487785161396032,3.1183374140986624,4.13780888865843
time = 1.26684210526e-16,0,13.184462723616416,5.691397043991033,5.084482195852572,3.296847325776915
time = 1.37157894737e-16,0,13.18403757988565,4.667897379709978,4.395015245423503,2.8557700011135108
time = 1.47631578947e-16,0,9.35508693848288,4.679564301578755,4.395606852074774,2.8545085827688057
time = 1.58105263158e-16,0,9.335232824153419,4.681267247095247,4.396002260014653,3.2971154679357304
time = 1.68578947368e-16,0,0.0,0.0,0.0,0.9576391490608276
time = 1.79052631579e-16,0,3.826031453878772,1.9155697284868223,0.0,0.9593057919694298
time = 1.89526315789e-16,0,3.8297658833713575,1.920762627814955,0.0,0.9643926497661184
time = 2e-16,0,3.8302939249761487,1.9149735454360368,0.0,0.9572355663482635
